customer_id;name;email;phone;city;province;registration_date;gender;age_group
CUST0001;Andi Rahmawati;andirahmawati229@yahoo.com;82118196001;Semarang;Jawa Tengah;22/04/2022;Male;25-34
CUST0002;Sari Sembiring;sarisembiring226@gmail.com;85794026542;Semarang;Jawa Tengah;21/11/2022;Female;18-24
CUST0003;Bella Aprilia;bellaaprilia271@gmail.com;81278161849;Tangerang;Banten;28/03/2024;Female;18-24
CUST0004;Shinta Hartono;shintahartono82@outlook.com;82216475255;Semarang;Jawa Tengah;04/10/2024;Female;25-34
CUST0005;Maulana Hidayat;maulanahidayat651@gmail.com;82183276483;Bekasi;Jawa Barat;25/04/2021;Male;18-24
CUST0006;Nadia Iskandar;nadiaiskandar68@outlook.com;82295376724;Makassar;Sulawesi Selatan;21/05/2022;Female;35-44
CUST0007;Ratna Sari;ratnasari920@gmail.com;87865328710;Medan;Sumatera Utara;10/11/2021;Female;25-34
CUST0008;Yoga Utami;yogautami395@gmail.com;85697848018;Denpasar;Bali;05/08/2024;Male;25-34
CUST0009;Rani Simbolon;ranisimbolon977@gmail.com;89648281489;Semarang;Jawa Tengah;10/11/2021;Female;25-34
CUST0010;Vera Hutapea;verahutapea614@gmail.com;85370154303;Manado;Sulawesi Utara;11/06/2021;Female;18-24
CUST0011;Putri Sembiring;putrisembiring132@yahoo.com;89578248963;Balikpapan;Kalimantan Timur;13/11/2024;Female;18-24
CUST0012;Shinta Ramadhan;shintaramadhan922@gmail.com;85871331509;Balikpapan;Kalimantan Timur;17/04/2022;Female;25-34
CUST0013;Fatimah Setiawan;fatimahsetiawan70@yahoo.com;81251834738;Makassar;Sulawesi Selatan;15/03/2024;Female;25-34
CUST0014;Hana Halim;hanahalim97@yahoo.com;81365667010;Depok;Jawa Barat;26/11/2022;Female;35-44
CUST0015;Sari Permata;saripermata460@gmail.com;;Medan;Sumatera Utara;14/04/2021;Female;35-44
CUST0016;Siti Nugroho;sitinugroho171@yahoo.com;85677360260;Depok;Jawa Barat;28/06/2022;Female;45+
CUST0017;Wahyu Tanjung;wahyutanjung678@gmail.com;89672343098;Surabaya;Jawa Timur;05/10/2022;Male;18-24
CUST0018;Dion Hutapea;dionhutapea59@yahoo.com;85812191361;Manado;Sulawesi Utara;20/05/2022;Male;25-34
CUST0019;Rina Halim;rinahalim579@gmail.com;85854353462;Malang;Jawa Timur;26/07/2023;Female;25-34
CUST0020;Joko Saputra;jokosaputra637@gmail.com;87811838425;Bandung;Jawa Barat;16/05/2022;Male;25-34
CUST0021;Mawar Yulianti;mawaryulianti827@gmail.com;89580841241;Medan;Sumatera Utara;08/02/2024;Female;18-24
CUST0022;Fitri Hasanah;fitrihasanah704@yahoo.com;89548740164;Surabaya;Jawa Timur;08/01/2021;Female;25-34
CUST0023;Citra Maharani;citramaharani565@gmail.com;89668011280;Tangerang;Banten;07/04/2024;Female;25-34
CUST0024;Sri Yulianti;sriyulianti921@outlook.com;81253315869;Makassar;Sulawesi Selatan;30/04/2022;Female;35-44
CUST0025;Adi Halim;adihalim184@gmail.com;89656342160;Pekanbaru;Riau;01/04/2022;Male;18-24
CUST0026;Nanda Yulianti;nandayulianti229@yahoo.com;81236541458;Depok;Jawa Barat;23/10/2024;Male;45+
CUST0027;Dewi Kurniawan;dewikurniawan183@outlook.com;87840196556;Pontianak;Kalimantan Barat;14/11/2023;Female;18-24
CUST0028;Yusuf Hakim;yusufhakim726@gmail.com;85608835615;Pontianak;Kalimantan Barat;05/10/2022;Male;35-44
CUST0029;Maya Siregar;mayasiregar683@outlook.com;85656482366;Yogyakarta;DI Yogyakarta;14/06/2024;Female;25-34
CUST0030;Siti Yulianti;sitiyulianti216@outlook.com;85699577738;Pekanbaru;Riau;14/12/2021;Female;35-44
CUST0031;Shinta Cahyani;shintacahyani96@outlook.com;82243320037;Pontianak;Kalimantan Barat;30/05/2021;Female;25-34
CUST0032;Irfan Permata;irfanpermata507@gmail.com;85632016328;Padang;Sumatera Barat;13/04/2021;Male;25-34
CUST0033;Rizky Simbolon;rizkysimbolon821@yahoo.com;85788957986;Balikpapan;Kalimantan Timur;03/07/2023;Male;35-44
CUST0034;Putra Sinaga;putrasinaga770@outlook.com;82248734714;Palembang;Sumatera Selatan;11/07/2022;Male;25-34
CUST0035;Bambang Lestari;bambanglestari237@yahoo.com;85623166587;Bogor;Jawa Barat;08/05/2021;Male;18-24
CUST0036;Vera Sari;verasari878@gmail.com;87867054668;Balikpapan;Kalimantan Timur;20/05/2024;Female;35-44
CUST0037;Tika Tanjung;tikatanjung30@gmail.com;85656272980;Depok;Jawa Barat;27/04/2024;Female;25-34
CUST0038;Karina Tanjung;karinatanjung888@yahoo.com;85720465375;Bekasi;Jawa Barat;16/02/2023;Female;25-34
CUST0039;Pandu Hakim;panduhakim482@gmail.com;81280531003;Semarang;Jawa Tengah;11/02/2021;Male;25-34
CUST0040;Hana Kurniawan;hanakurniawan971@gmail.com;82274529912;Malang;Jawa Timur;10/08/2021;Female;25-34
